source_id,RA,DEC,Type,Period,A1,A1_error,A2,A2_error,A3,A3_error,Phi21,Phi21_error,Phi31,Phi31_error,[Fe/H],[Fe/H]_error,E(B-V),E(B-V)_error,Distance_modulus,Distance_modulus_error
4657224422954588800,84.80918625090553,-70.2334199376939,RRab,0.5576464720255716,0.2893644,0.021025136,0.1360401,0.013773612,0.09787262,0.016144644,4.031168,0.16116889,1.9638534,0.44771355,-1.6189157237419225,0.5738433316074453,0.28528,0.2063733,18.06236116144774,1.0048118177220222
4657793832415468288,84.81315100377134,-68.58377596318786,RRab,0.6519131686549344,0.12996848,0.009906121,0.055748105,0.014175293,0.019524386,0.025551949,4.9704165,0.2672677,2.63097,0.25739783,-1.515006286034886,0.4893251760309235,0.111532,0.046282247,18.651975663009768,0.8507371176194718
4657250162611835776,84.81454953083687,-70.10097627451442,RRab,0.6378484799084888,0.35826626,0.022153502,0.21517514,0.023838159,0.10621351,0.021627285,4.193929,0.15946664,2.620208,0.46439633,-1.447063543492113,0.6226673050736418,0.229893,0.16616085,18.19379706685779,0.9125684046222046
4657062146061646976,84.81567836253598,-70.89428464550546,RRab,0.6007043152331003,0.32596442,0.024071723,0.12945127,0.025855057,0.086762965,0.021432364,3.7669244,0.19034529,1.8580877,0.28029966,-1.9573065115437065,0.4509606817943844,0.165402,0.06676783,18.38109811447224,0.9640256643617079
4657120798186512640,84.81680064266008,-70.53669020884209,RRab,0.5978675460314269,0.295749,0.017025355,0.17139484,0.026953552,0.095651545,0.02497223,4.28187,0.2224945,2.3907068,0.15467201,-1.4409004884744196,0.43339551303137125,0.174506,0.06980273,18.46317195249284,0.8190697050718267
4657217245929823488,84.82119607422047,-70.379875432531,RRab,0.4902778687678951,0.40573475,0.04724084,0.17684017,0.061237194,0.1550067,0.05510038,3.9893403,0.47684228,1.8576423,0.7743031,-1.344858409661818,0.8496742794039993,0.154779,0.072078906,18.808500950185312,0.8473706834625933
4650982980650356608,84.827306792347,-71.85710813532614,RRab,0.5805922312677584,0.26158905,0.020711845,0.15533818,0.029451273,0.10762921,0.02280379,3.6644347,0.1403289,1.7844398,0.26553243,-1.914913471536059,0.4407654849993284,0.110773,0.041729894,18.680058639630097,0.9521511978043122
4657216863819734272,84.83338249532687,-70.40991499945774,RRab,0.5956969701554206,0.2945443,0.012930966,0.15679015,0.022535658,0.07875204,0.01605238,4.4284887,0.13009974,2.6598365,0.31739432,-1.1758718743625844,0.5108945244392245,0.154021,0.07587253,18.323344710141523,0.7817129922857842
4657226621908489600,84.83723530658385,-70.1431783787556,RRab,0.4851256082873213,0.36349088,0.020637104,0.17317083,0.028899254,0.11179087,0.02922388,3.8640974,0.1867469,1.7275649,0.31896263,-1.4385361199946334,0.4630201897833699,0.322458,0.2837633,18.234843106278497,1.0551620227688623
4657673573351505664,84.84353300193118,-69.30589718969091,RRab,0.4682933539724713,0.4064109,0.028576199,0.16341482,0.023688732,0.13959049,0.027021213,3.7897549,0.18193562,1.605137,0.33219728,-1.4601993345472155,0.47463284460043176,0.234446,0.07663126,18.71069937575322,0.8252305678075477
4657827573651510144,84.84919669827092,-68.30282795229377,RRab,0.6454906695775926,0.1588822,0.00464568,0.06785069,0.0040673036,0.030170327,0.0036910805,4.129952,0.055911273,2.3704479,0.18768425,-1.7242521901556396,0.4566650785427457,0.084977,0.049317144,18.35079387740358,0.9028512779988854
