object_id,period,type,band,mean_mag,err_mag,chi_squared,[Fe/H],[Fe/H]_error,E(B-V),E(B-V)_error,Distance_modulus,Distance_modulus_error
496789965,0.318712,RRc,r,19.045867,0.011072,67.866170,-1.813725,0.334942,0.041729,0.042489,18.541201,0.901513
496790751,0.478757,RRab,r,18.717482,0.864582,4.183443,-1.115589,0.395881,0.037936,0.040212,18.738689,0.714152
496790861,0.699123,RRab,r,19.317975,0.047077,9.620037,-1.929780,0.431126,0.037936,0.040971,18.588388,0.932777
496791223,0.355724,RRc,r,19.058271,0.009709,3.973754,-2.013876,0.339246,0.050834,0.047041,18.436146,0.977781
496803835,0.681990,RRab,r,19.031691,0.072228,0.026255,-1.926192,0.437464,0.050075,0.047800,18.518143,0.957421
496806148,0.478893,RRab,r,19.102260,0.032387,16.040798,-1.686509,0.364820,0.044006,0.047041,18.472171,0.885320
496807282,0.553953,RRab,r,19.245299,0.023972,3.330282,-1.571538,0.390044,0.039453,0.048558,18.464059,0.840483
496811885,0.354027,RRc,r,18.923610,0.019027,6.402762,-1.764533,0.345267,0.061456,0.058422,18.222117,0.889284
496812067,0.590244,RRab,r,18.328484,0.092438,0.295226,-1.673228,0.405294,0.066009,0.067527,18.362573,0.873362
496814232,0.552756,RRab,r,19.153473,0.010261,23.817228,-1.730294,0.401803,0.051593,0.034143,18.624207,0.881161
496816358,0.526580,RRab,r,19.312219,0.019007,32.263160,-1.573487,0.386040,0.059180,0.043247,18.540268,0.831239
496816977,0.584870,RRab,r,19.452242,0.336526,7.823304,-1.506290,0.417912,0.051593,0.048558,18.731305,0.848103
496817743,0.578900,RRab,r,18.835470,0.332442,1.188580,-1.877399,0.390153,0.040971,0.046282,18.434714,0.928558
496817757,0.581077,RRab,r,18.119811,0.063099,2.100371,-1.719045,0.415938,0.037936,0.048558,18.518371,0.896099
496817932,0.637583,RRab,r,19.130085,0.264570,2.003452,-1.347953,0.465954,0.040212,0.045524,18.430952,0.783165
