#        1          2            3       4       5         6         7         8          9        10
#       RA         Dec        E(V-I)  -sigma  +sigma    (V-I)_RC  (V-I)_0  E(V-I)peak E(V-I)_SFD   box
#      [hr]       [deg]       median  [-34%]  [+34%]     median    [mag]      mode      [mag]    [arcmin]
    5.478967   -69.470642     0.062    0.057   0.061      0.951    0.889     0.065      0.292      3.4
    5.754309   -69.742516     0.160    0.071   0.083      1.046    0.886     0.159      1.683      3.4
    5.482515   -69.891968     0.086    0.071   0.070      0.975    0.888     0.092      0.631      3.4
    5.451465   -67.635803     0.099    0.084   0.075      0.984    0.885     0.090      1.016      3.4
    0.789349   -73.467247     0.069    0.086   0.087      0.939    0.870     0.078      0.523      3.4
    5.371884   -68.121307     0.221    0.144   0.213      1.108    0.886     0.112      2.138      3.4
    0.855707   -71.822937     0.063    0.049   0.048      0.927    0.864     0.063      0.119      3.4
    5.095503   -70.070267     0.131    0.058   0.063      1.016    0.885     0.137      0.789      3.4
    5.829484   -71.401611     0.124    0.054   0.069      1.008    0.884     0.116      0.150      3.4
    5.523007   -67.593369     0.067    0.044   0.042      0.952    0.885     0.070      0.632      3.4
    5.224667   -70.547340     0.101    0.042   0.043      0.987    0.886     0.103      0.323      3.4
    5.227931   -71.697189     0.108    0.050   0.062      0.992    0.884     0.116      0.197      3.4
    5.663634   -67.629860     0.089    0.043   0.062      0.974    0.885     0.110      0.372      3.4
    5.645054   -70.764565     0.150    0.049   0.052      1.036    0.886     0.151      0.665      3.4
    4.913994   -68.772018     0.152    0.048   0.052      1.035    0.883     0.156      0.389      3.4
    0.951346   -71.879799     0.052    0.046   0.034      0.918    0.866     0.065      0.226      3.4
    5.357489   -69.570801     0.059    0.082   0.083      0.947    0.888     0.065      0.966      3.4
    5.380793   -70.716530     0.108    0.040   0.035      0.994    0.887     0.113      0.260      3.4
    0.665705   -74.010963     0.043    0.029   0.029      0.906    0.863     0.044      0.067      3.4
    0.783347   -72.921188     0.035    0.058   0.056      0.909    0.873     0.041      0.411      3.4
    5.175825   -70.318192     0.115    0.063   0.072      1.001    0.886     0.121      0.539      3.4
    0.831410   -73.069374     0.055    0.081   0.091      0.930    0.874     0.066      0.917      3.4
    5.183736   -67.900719     0.121    0.069   0.076      1.006    0.885     0.123      0.517      3.4
    5.116292   -70.686111     0.070    0.048   0.064      0.955    0.885     0.067      0.361      3.4
    5.760429   -71.284134     0.179    0.068   0.064      1.064    0.885     0.191      0.314      3.4
    1.112576   -72.642548     0.109    0.048   0.035      0.975    0.866     0.113      0.194      3.4
    5.578882   -67.565216     0.138    0.073   0.094      1.023    0.885     0.147      2.509      3.4
    0.804817   -72.497482     0.039    0.046   0.045      0.910    0.871     0.043      0.200      3.4
    5.779286   -69.827110     0.302    0.162   0.206      1.188    0.886     0.322      1.507      3.4
    5.203006   -69.640472     0.220    0.115   0.161      1.107    0.886     0.209      1.076      3.4
    5.437520   -71.647705     0.102    0.044   0.052      0.987    0.885     0.093      0.491      3.4
    5.325765   -71.648071     0.098    0.060   0.061      0.982    0.885     0.111      0.173      3.4
    0.941022   -71.745743     0.025    0.058   0.040      0.890    0.864     0.022      0.146      3.4
    5.349377   -71.554329     0.117    0.055   0.068      1.002    0.885     0.122      0.300      3.4
    5.510272   -71.443718     0.123    0.058   0.055      1.009    0.885     0.133      0.404      3.4
    5.771491   -70.168114     0.182    0.082   0.076      1.068    0.886     0.188      0.738      3.4
    5.149782   -67.835594     0.081    0.056   0.061      0.965    0.884     0.079      0.342      3.4
    0.643048   -73.253204     0.037    0.042   0.039      0.904    0.867     0.043      0.082      3.4
    5.403467   -71.542061     0.127    0.056   0.077      1.012    0.885     0.103      0.533      3.4
    5.156241   -69.665634     0.098    0.064   0.060      0.984    0.886     0.105      0.298      3.4
    5.381390   -69.501228     0.046    0.064   0.053      0.934    0.888     0.060      0.467      3.4
    4.977869   -67.561707     0.108    0.039   0.056      0.990    0.882     0.120      0.291      3.4
    5.048610   -69.551659     0.100    0.054   0.052      0.985    0.885     0.104      0.262      3.4
    4.905868   -69.782509     0.153    0.066   0.066      1.036    0.883     0.159      0.364      3.4
    1.076635   -72.847298     0.074    0.050   0.040      0.941    0.867     0.082      0.175      3.4
    1.080861   -72.925705     0.060    0.030   0.034      0.927    0.866     0.057      0.161      3.4
    5.538085   -69.048630     0.177    0.074   0.071      1.065    0.888     0.185      0.935      3.4
    5.024787   -69.137314     0.096    0.059   0.053      0.980    0.884     0.104      0.498      3.4
    5.422573   -70.104118     0.097    0.057   0.060      0.985    0.888     0.100      0.433      3.4
    5.256055   -66.822197     0.092    0.049   0.046      0.975    0.883     0.100      0.208      3.4
    5.146000   -68.577774     0.148    0.075   0.085      1.033    0.885     0.150      1.013      3.4
    4.813190   -70.681847     0.179    0.047   0.042      1.061    0.882     0.194      0.216      3.4
    4.878849   -69.592728     0.157    0.057   0.064      1.040    0.883     0.168      0.444      3.4
    5.907382   -70.522369     0.067    0.082   0.072      0.951    0.884     0.094      0.138      3.4
    5.653614   -70.361488     0.228    0.090   0.119      1.115    0.887     0.231      1.208      3.4
    5.482313   -71.057205     0.112    0.064   0.080      0.998    0.886     0.110      1.013      3.4
    5.149602   -69.204895     0.085    0.050   0.045      0.970    0.886     0.091      0.657      3.4
    4.901715   -68.087074     0.115    0.055   0.068      0.998    0.882     0.109      0.370      3.4
    4.825976   -69.518593     0.203    0.066   0.096      1.085    0.882     0.193      0.952      3.4
    5.062811   -67.594826     0.081    0.047   0.042      0.964    0.883     0.089      0.327      3.4
    5.191451   -70.791130     0.085    0.055   0.048      0.971    0.885     0.097      0.218      3.4
    5.395657   -69.459137     0.054    0.065   0.069      0.942    0.888     0.064      0.801      3.4
    5.246289   -67.399330     0.175    0.066   0.081      1.059    0.884     0.175      0.901      3.4
    0.646816   -73.879189     0.039    0.033   0.034      0.903    0.864     0.040      0.067      3.4
    1.151925   -72.348083     0.044    0.044   0.053      0.908    0.864     0.034      0.138      3.4
    5.874781   -70.783661     0.107    0.044   0.052      0.991    0.884     0.103      0.143      3.4
    5.594547   -68.725243     0.241    0.118   0.180      1.128    0.887     0.214      0.679      3.4
    4.990400   -69.218880     0.117    0.068   0.064      1.001    0.884     0.127      0.527      3.4
    5.510203   -68.304588     0.266    0.079   0.088      1.152    0.887     0.273      0.909      3.4
    5.103880   -67.421669     0.106    0.061   0.068      0.989    0.883     0.110      0.275      3.4
    5.185771   -69.525558     0.122    0.069   0.072      1.008    0.886     0.132      0.730      3.4
    5.495214   -68.054550     0.139    0.058   0.055      1.026    0.886     0.150      0.522      3.4
    1.068536   -73.497368     0.068    0.055   0.063      0.930    0.862     0.067      0.090      3.4
    5.473490   -70.484268     0.088    0.058   0.051      0.975    0.887     0.098      0.402      3.4
    5.532929   -69.768890     0.164    0.082   0.097      1.053    0.889     0.173      1.214      3.4
    1.023459   -73.479446     0.052    0.050   0.037      0.916    0.864     0.064      0.109      3.4
    5.834355   -71.384949     0.126    0.047   0.056      1.010    0.884     0.122      0.148      3.4
    5.228324   -69.959160     0.103    0.051   0.046      0.989    0.886     0.110      0.255      3.4
    5.212290   -69.231018     0.116    0.077   0.080      1.002    0.886     0.125      1.691      3.4
    0.648193   -73.594849     0.028    0.048   0.040      0.894    0.866     0.042      0.074      3.4
    4.979474   -67.870010     0.101    0.047   0.059      0.983    0.883     0.097      0.322      3.4
    5.078106   -70.554169     0.098    0.065   0.055      0.983    0.884     0.103      0.150      3.4
    5.253887   -69.407585     0.115    0.079   0.101      1.002    0.887     0.114      1.281      3.4
    0.955688   -72.883537     0.086    0.061   0.061      0.959    0.873     0.095      0.359      3.4
    5.617894   -69.187439     0.478    0.208   0.264      1.366    0.888     0.462     10.129      3.4
    4.940104   -69.396591     0.117    0.079   0.081      1.000    0.883     0.126      0.674      3.4
    5.518642   -70.415710     0.098    0.063   0.062      0.985    0.887     0.107      0.417      3.4
    0.919515   -73.982399     0.032    0.032   0.025      0.894    0.862     0.039      0.076      3.4
    5.223294   -68.591019     0.082    0.041   0.041      0.968    0.886     0.087      0.382      3.4
    5.081605   -69.313690     0.085    0.067   0.066      0.970    0.885     0.091      0.236      3.4
    5.175820   -70.446022     0.083    0.056   0.056      0.968    0.885     0.084      0.343      3.4
    5.240410   -68.897049     0.108    0.067   0.073      0.994    0.886     0.112      0.790      3.4
    5.064906   -67.620827     0.092    0.054   0.043      0.975    0.883     0.104      0.325      3.4
    5.176930   -67.887825     0.111    0.058   0.069      0.996    0.884     0.097      0.530      3.4
    0.613823   -73.228165     0.042    0.040   0.043      0.908    0.866     0.041      0.074      3.4
    0.704995   -72.668869     0.062    0.035   0.030      0.930    0.868     0.062      0.096      3.4
    5.231710   -70.304115     0.148    0.057   0.057      1.034    0.886     0.156      0.375      3.4
    5.091957   -69.161476     0.139    0.081   0.098      1.024    0.885     0.133      0.698      3.4
    5.765589   -69.876007     0.269    0.143   0.214      1.155    0.886     0.159      1.375      3.4
    5.802767   -68.763596     0.168    0.071   0.078      1.053    0.885     0.191      0.604      3.4
    1.081906   -72.157814     0.061    0.048   0.056      0.927    0.866     0.070      0.385      3.4
    5.009683   -69.518158     0.136    0.043   0.048      1.020    0.884     0.136      0.409      3.4
    5.163430   -67.797829     0.052    0.040   0.047      0.937    0.884     0.045      0.387      3.4
    5.147124   -69.243141     0.096    0.051   0.056      0.982    0.886     0.100      0.640      3.4
    0.796655   -73.278641     0.161    0.139   0.196      1.033    0.872     0.108      1.443      3.4
    5.000506   -70.604355     0.094    0.054   0.056      0.978    0.884     0.099      0.149      3.4
    5.710576   -69.103790     0.307    0.172   0.255      1.194    0.887     0.183      3.403      3.4
    5.585270   -69.128098     0.564    0.140   0.142      1.452    0.888     0.573      3.587      3.4
    5.509097   -69.676544     0.116    0.051   0.058      1.005    0.889     0.114      0.476      3.4
    1.103521   -72.050606     0.084    0.061   0.068      0.949    0.865     0.082      0.449      3.4
    5.254099   -69.471504     0.069    0.057   0.061      0.955    0.887     0.076      0.863      3.4
    5.663309   -70.124489     0.176    0.045   0.057      1.063    0.887     0.178      2.159      3.4
    5.262920   -66.962433     0.113    0.041   0.052      0.996    0.883     0.113      0.215      3.4
    5.054792   -67.080658     0.086    0.056   0.073      0.969    0.882     0.078      0.495      3.4
    0.720504   -72.862144     0.061    0.044   0.035      0.931    0.870     0.067      0.140      3.4
    5.326117   -67.350250     0.114    0.048   0.044      0.999    0.885     0.107      0.233      3.4
    4.968953   -69.674362     0.117    0.049   0.036      1.001    0.884     0.129      0.201      3.4
    5.831772   -71.077042     0.117    0.050   0.054      1.001    0.884     0.127      0.168      3.4
    4.893319   -68.725662     0.169    0.054   0.060      1.052    0.883     0.167      0.389      3.4
    5.152036   -66.747040     0.091    0.052   0.055      0.974    0.882     0.103      0.236      3.4
    5.548833   -70.659042     0.064    0.045   0.049      0.951    0.887     0.062      0.231      3.4
    5.114759   -70.340759     0.070    0.050   0.043      0.955    0.885     0.077      0.234      3.4
    5.657432   -71.476868     0.131    0.048   0.060      1.016    0.885     0.122      0.409      3.4
    5.319119   -68.542061     0.115    0.060   0.065      1.002    0.887     0.124      0.599      3.4
    5.606288   -68.718788     0.136    0.054   0.065      1.023    0.887     0.151      0.563      3.4
    5.128471   -67.385849     0.104    0.049   0.053      0.988    0.883     0.106      0.241      3.4
    4.957327   -70.542252     0.081    0.060   0.055      0.965    0.883     0.084      0.141      3.4
    0.993105   -72.683731     0.083    0.060   0.057      0.954    0.872     0.089      0.325      3.4
    5.331188   -69.320305     0.063    0.069   0.072      0.951    0.888     0.076      1.211      3.4
    5.313464   -68.786140     0.128    0.063   0.053      1.014    0.887     0.138      0.776      3.4
    1.179684   -72.586151     0.099    0.035   0.030      0.962    0.863     0.104      0.125      3.4
    5.674134   -71.184669     0.238    0.069   0.083      1.123    0.885     0.236      1.193      3.4
    5.410351   -70.798462     0.114    0.047   0.050      1.000    0.887     0.114      0.206      3.4
    5.381121   -71.240707     0.099    0.043   0.047      0.985    0.886     0.101      0.315      3.4
    0.729950   -73.994354     0.053    0.032   0.033      0.916    0.863     0.056      0.105      3.4
    4.891596   -68.853340     0.154    0.046   0.055      1.037    0.883     0.152      0.442      3.4
    4.954174   -70.362022     0.124    0.059   0.068      1.007    0.883     0.125      0.275      3.4
    5.819478   -71.189804     0.148    0.053   0.057      1.032    0.884     0.150      0.185      3.4
    5.517684   -71.991501     0.103    0.041   0.030      0.988    0.884     0.112      0.132      3.4
    5.330976   -70.982590     0.072    0.048   0.053      0.957    0.886     0.077      0.181      3.4
    4.910027   -69.463341     0.172    0.074   0.109      1.056    0.883     0.162      0.859      3.4
    5.255204   -71.695297     0.111    0.055   0.055      0.996    0.884     0.126      0.186      3.4
    0.569844   -73.370926     0.061    0.025   0.026      0.925    0.864     0.058      0.065      3.4
    5.839282   -70.205704     0.122    0.053   0.065      1.008    0.885     0.121      0.434      3.4
    5.022244   -67.919678     0.078    0.053   0.064      0.961    0.883     0.079      0.340      3.4
    0.753905   -73.287704     0.156    0.142   0.189      1.027    0.871     0.162      0.970      3.4
    5.183837   -67.708694     0.128    0.068   0.097      1.012    0.884     0.115      0.474      3.4
    0.807800   -72.331909     0.071    0.047   0.052      0.940    0.869     0.068      0.222      3.4
    5.311001   -68.338692     0.155    0.069   0.089      1.041    0.886     0.154      0.619      3.4
    5.753377   -70.786644     0.193    0.077   0.092      1.078    0.885     0.191      0.620      3.4
    0.746597   -73.902733     0.047    0.044   0.039      0.911    0.865     0.054      0.114      3.4
    4.802190   -68.799866     0.181    0.086   0.102      1.063    0.882     0.180      0.485      3.4
    4.841815   -68.099449     0.117    0.083   0.119      0.999    0.882     0.105      0.321      3.4
    5.228943   -70.214790     0.138    0.069   0.088      1.024    0.886     0.138      0.547      3.4
    5.348683   -68.421127     0.104    0.063   0.079      0.991    0.887     0.096      0.847      3.4
    5.468962   -71.394630     0.110    0.063   0.091      0.995    0.885     0.080      0.561      3.4
    4.923101   -66.888252     0.050    0.049   0.056      0.931    0.881     0.070      0.274      3.4
    5.392329   -72.196892     0.114    0.049   0.039      0.998    0.884     0.128      0.123      3.4
    0.706042   -72.993256     0.077    0.058   0.076      0.947    0.870     0.058      0.266      3.4
    5.032879   -67.704193     0.093    0.051   0.069      0.976    0.883     0.100      0.315      3.4
    0.958116   -73.950279     0.043    0.043   0.043      0.904    0.861     0.044      0.073      3.4
    5.827488   -70.951271     0.132    0.051   0.052      1.017    0.885     0.142      0.169      3.4
    5.094433   -69.724762     0.106    0.051   0.052      0.991    0.885     0.113      0.251      3.4
    5.323769   -69.666977     0.107    0.079   0.095      0.995    0.888     0.116      3.142      3.4
    5.822316   -70.477638     0.122    0.065   0.064      1.007    0.885     0.127      0.352      3.4
    5.176032   -71.532303     0.107    0.036   0.040      0.991    0.884     0.107      0.199      3.4
    4.973490   -70.725876     0.093    0.040   0.050      0.977    0.883     0.097      0.140      3.4
    0.784767   -74.122322     0.057    0.042   0.046      0.919    0.862     0.057      0.071      3.4
    5.688220   -69.080231     0.252    0.098   0.125      1.139    0.887     0.238      3.181      3.4
    5.323854   -70.740952     0.118    0.079   0.099      1.005    0.886     0.115      0.397      3.4
    5.511808   -69.534462     0.101    0.056   0.057      0.990    0.889     0.104      0.377      3.4
    5.391198   -68.487572     0.147    0.089   0.100      1.034    0.887     0.142      1.125      3.4
    4.938066   -69.152328     0.125    0.056   0.073      1.009    0.883     0.108      0.766      3.4
    5.647975   -70.994102     0.231    0.095   0.092      1.117    0.886     0.241      0.664      3.4
    5.724244   -70.780579     0.166    0.057   0.062      1.051    0.886     0.168      0.603      3.4
    0.764210   -73.708290     0.041    0.054   0.047      0.908    0.867     0.047      0.140      3.4
    5.502306   -69.230850     0.110    0.056   0.044      0.999    0.889     0.120      0.496      3.4
    0.817617   -73.447136     0.058    0.077   0.098      0.928    0.870     0.059      0.525      3.4
    4.910395   -66.857506     0.086    0.060   0.076      0.967    0.881     0.084      0.390      3.4
    5.359106   -69.173851     0.100    0.072   0.080      0.988    0.888     0.111      0.562      3.4
    5.159117   -69.307632     0.121    0.065   0.084      1.007    0.886     0.127      0.836      3.4
    0.742249   -72.542603     0.073    0.041   0.038      0.942    0.869     0.077      0.121      3.4
    5.317992   -67.927917     0.129    0.063   0.077      1.014    0.886     0.128      0.605      3.4
    5.193116   -69.538322     0.140    0.077   0.089      1.026    0.886     0.144      0.878      3.4
    5.072421   -69.683487     0.126    0.052   0.043      1.010    0.885     0.134      0.242      3.4
    5.038212   -69.639351     0.121    0.053   0.050      1.006    0.884     0.129      0.214      3.4
    1.119512   -72.094597     0.066    0.039   0.031      0.931    0.865     0.071      0.255      3.4
    5.556298   -68.988716     0.181    0.077   0.083      1.069    0.888     0.174      1.216      3.4
    5.440245   -67.639793     0.132    0.071   0.084      1.018    0.885     0.136      1.160      3.4
    5.003451   -67.184151     0.082    0.052   0.045      0.964    0.882     0.087      0.169      3.4
    5.716236   -68.842392     0.183    0.081   0.114      1.070    0.886     0.177      1.702      3.4
    5.536715   -68.215599     0.252    0.079   0.073      1.138    0.887     0.270      1.006      3.4
    5.811297   -71.428246     0.147    0.039   0.040      1.031    0.884     0.153      0.174      3.4
    0.911091   -72.512718     0.067    0.074   0.059      0.941    0.874     0.081      0.408      3.4
    5.649989   -69.656990     0.389    0.141   0.179      1.276    0.887     0.392     10.426      3.4
    0.606656   -73.494843     0.035    0.028   0.031      0.900    0.865     0.033      0.064      3.4
    0.581111   -73.628448     0.036    0.033   0.032      0.899    0.863     0.038      0.048      3.4
    4.789285   -71.249008     0.194    0.051   0.053      1.075    0.881     0.200      0.209      3.4
    5.188637   -67.055664     0.152    0.078   0.106      1.035    0.883     0.147      0.577      3.4
    4.988064   -69.474495     0.144    0.048   0.050      1.028    0.884     0.148      0.533      3.4
    5.300227   -69.862556     0.132    0.082   0.101      1.019    0.887     0.131      1.188      3.4
    5.286123   -67.343910     0.156    0.059   0.062      1.040    0.884     0.160      0.476      3.4
    5.571176   -70.994972     0.116    0.046   0.042      1.002    0.886     0.123      0.373      3.4
    5.422039   -70.897507     0.090    0.040   0.040      0.977    0.886     0.095      0.242      3.4
    5.471588   -67.999969     0.168    0.062   0.062      1.054    0.886     0.178      0.461      3.4
    5.756290   -70.707329     0.178    0.091   0.110      1.063    0.885     0.171      0.687      3.4
    5.193607   -70.305420     0.080    0.046   0.053      0.965    0.886     0.082      0.506      3.4
    5.393763   -68.512482     0.150    0.085   0.101      1.037    0.887     0.144      1.060      3.4
    5.728758   -70.005257     0.160    0.064   0.068      1.046    0.886     0.158      0.559      3.4
    1.187024   -72.473007     0.081    0.046   0.044      0.943    0.862     0.099      0.114      3.4
    5.224737   -71.544044     0.083    0.047   0.036      0.967    0.884     0.095      0.170      3.4
    5.314562   -70.895859     0.065    0.060   0.045      0.951    0.886     0.081      0.206      3.4
    5.156320   -69.601692     0.081    0.081   0.061      0.967    0.886     0.097      0.348      3.4
    5.168371   -67.465103     0.093    0.056   0.058      0.977    0.884     0.099      0.231      3.4
    4.898933   -68.124489     0.124    0.052   0.064      1.006    0.882     0.120      0.347      3.4
    5.732440   -70.234467     0.214    0.116   0.160      1.100    0.886     0.200      0.763      3.4
    5.310244   -71.394958     0.103    0.039   0.035      0.988    0.885     0.107      0.178      3.4
    5.750840   -67.953606     0.135    0.032   0.034      1.020    0.885     0.139      0.413      3.4
    4.837043   -69.742035     0.137    0.045   0.044      1.019    0.882     0.143      0.266      3.4
    5.604701   -69.502853     0.162    0.074   0.078      1.050    0.888     0.161      1.472      3.4
    5.304700   -70.986824     0.077    0.042   0.037      0.963    0.886     0.084      0.171      3.4
    5.390411   -67.604149     0.078    0.048   0.065      0.964    0.885     0.080      0.422      3.4
    5.107393   -70.263351     0.064    0.048   0.049      0.949    0.885     0.065      0.224      3.4
    5.089928   -66.163605     0.085    0.050   0.062      0.966    0.881     0.082      0.106      3.4
    4.838176   -67.891983     0.082    0.050   0.058      0.963    0.881     0.085      0.167      3.4
    5.711005   -67.416580     0.116    0.047   0.057      1.000    0.884     0.110      0.320      3.4
    4.924408   -67.723457     0.106    0.038   0.050      0.988    0.882     0.095      0.206      3.4
    0.707723   -73.926407     0.038    0.040   0.035      0.902    0.864     0.042      0.093      3.4
    5.776123   -70.151802     0.198    0.085   0.088      1.084    0.886     0.199      0.806      3.4
    5.706281   -69.325516     0.191    0.082   0.093      1.078    0.887     0.208      1.423      3.4
    5.211356   -71.608482     0.092    0.057   0.056      0.976    0.884     0.090      0.178      3.4
    5.750409   -69.964340     0.139    0.058   0.061      1.025    0.886     0.142      0.704      3.4
    5.588996   -71.820061     0.129    0.051   0.050      1.013    0.884     0.128      0.191      3.4
    5.008632   -69.645973     0.136    0.034   0.029      1.020    0.884     0.141      0.296      3.4
    0.712784   -72.480957     0.057    0.040   0.032      0.925    0.867     0.065      0.089      3.4
    5.759531   -69.480957     0.357    0.162   0.217      1.243    0.886     0.343      1.697      3.4
    0.893358   -73.736992     0.045    0.050   0.056      0.910    0.865     0.041      0.140      3.4
    5.500367   -70.871269     0.092    0.051   0.056      0.978    0.886     0.094      0.654      3.4
    0.937663   -72.591621     0.106    0.058   0.059      0.980    0.874     0.115      0.444      3.4
    5.162637   -66.875702     0.124    0.066   0.064      1.007    0.883     0.134      0.252      3.4
    5.707072   -71.974953     0.147    0.035   0.043      1.030    0.884     0.147      0.154      3.4
    5.462012   -70.219452     0.129    0.089   0.097      1.017    0.888     0.127      0.684      3.4
    5.715173   -70.258957     0.210    0.073   0.074      1.097    0.886     0.213      0.776      3.4
    5.472933   -69.921112     0.089    0.074   0.075      0.978    0.888     0.096      0.665      3.4
    5.394574   -68.345810     0.241    0.139   0.210      1.127    0.887     0.332      1.377      3.4
    1.065227   -72.010376     0.074    0.074   0.089      0.940    0.866     0.062      0.850      3.4
    5.563506   -69.536766     0.125    0.059   0.082      1.013    0.888     0.127      1.233      3.4
    5.495872   -69.784363     0.093    0.074   0.067      0.982    0.889     0.102      0.588      3.4
    5.349848   -66.166412     0.122    0.045   0.045      1.005    0.882     0.124      0.251      3.4
    5.578863   -68.643730     0.132    0.073   0.063      1.020    0.887     0.139      0.666      3.4
    5.752393   -71.727478     0.149    0.059   0.061      1.033    0.884     0.145      0.166      3.4
    0.714746   -73.841011     0.053    0.046   0.041      0.918    0.865     0.055      0.107      3.4
    5.280277   -69.852402     0.115    0.072   0.083      1.002    0.887     0.119      0.927      3.4
    0.972987   -73.546638     0.040    0.051   0.041      0.905    0.866     0.047      0.104      3.4
    1.057367   -72.391487     0.087    0.048   0.042      0.955    0.868     0.090      0.235      3.4
    5.155507   -70.304916     0.118    0.086   0.118      1.004    0.885     0.076      0.547      3.4
    4.980304   -68.024139     0.110    0.054   0.052      0.993    0.883     0.121      0.343      3.4
    5.180948   -70.497192     0.098    0.052   0.058      0.984    0.885     0.099      0.344      3.4
    5.516485   -68.417236     0.251    0.076   0.097      1.138    0.887     0.260      1.646      3.4
    5.549895   -68.170746     0.174    0.060   0.062      1.060    0.886     0.178      0.789      3.4
    5.552295   -68.464684     0.167    0.077   0.093      1.054    0.887     0.164      1.875      3.4
    5.516491   -69.519676     0.087    0.056   0.056      0.976    0.889     0.091      0.375      3.4
    4.928289   -68.366570     0.158    0.053   0.080      1.041    0.883     0.148      0.862      3.4
    5.311631   -70.090973     0.132    0.068   0.081      1.019    0.887     0.126      0.652      3.4
    5.626992   -72.455864     0.114    0.048   0.066      0.997    0.883     0.125      0.142      3.4
    0.577301   -73.286606     0.056    0.047   0.042      0.920    0.864     0.062      0.067      3.4
    5.134456   -68.513031     0.117    0.070   0.092      1.002    0.885     0.120      1.070      3.4
    5.304826   -68.941040     0.068    0.061   0.068      0.955    0.887     0.070      0.783      3.4
    5.456909   -68.313034     0.123    0.049   0.058      1.010    0.887     0.122      0.585      3.4
    5.247944   -70.584198     0.111    0.055   0.082      0.997    0.886     0.096      0.320      3.4
    5.171788   -68.540428     0.127    0.053   0.060      1.012    0.885     0.130      0.762      3.4
    5.601348   -69.209412     0.423    0.191   0.185      1.311    0.888     0.435      5.973      3.4
    5.226458   -67.554222     0.168    0.095   0.101      1.052    0.884     0.180      0.802      3.4
    1.209002   -72.759659     0.116    0.084   0.118      0.976    0.861     0.104      0.129      3.4
    0.766837   -73.116112     0.122    0.099   0.115      0.995    0.872     0.141      1.140      3.4
    5.704784   -70.741699     0.249    0.080   0.105      1.134    0.886     0.250      0.661      3.4
    5.044989   -68.270508     0.090    0.047   0.061      0.974    0.884     0.096      0.391      3.4
    0.633584   -72.751892     0.034    0.033   0.029      0.900    0.865     0.039      0.065      3.4
    5.442464   -70.277145     0.095    0.056   0.059      0.983    0.888     0.101      0.375      3.4
    5.569770   -67.698517     0.159    0.103   0.144      1.044    0.885     0.127      0.936      3.4
    5.488669   -71.605370     0.119    0.048   0.060      1.004    0.885     0.113      0.354      3.4
    5.769210   -70.002228     0.152    0.061   0.061      1.038    0.886     0.163      0.819      3.4
    5.285831   -69.966782     0.168    0.076   0.092      1.055    0.887     0.164      0.930      3.4
    4.856384   -69.455101     0.140    0.052   0.048      1.022    0.882     0.147      1.400      3.4
    5.724555   -70.226952     0.229    0.098   0.133      1.115    0.886     0.243      0.781      3.4
    0.856810   -73.806198     0.057    0.043   0.050      0.922    0.865     0.066      0.105      3.4
    5.732059   -70.685295     0.185    0.074   0.074      1.070    0.886     0.176      0.675      3.4
    5.573426   -69.672997     0.110    0.046   0.054      0.998    0.888     0.122      1.372      3.4
    5.288672   -71.806793     0.094    0.041   0.049      0.978    0.884     0.104      0.162      3.4
    5.616827   -72.281258     0.115    0.057   0.053      0.998    0.883     0.120      0.165      3.4
    4.969674   -68.174889     0.120    0.039   0.042      1.003    0.883     0.118      0.352      3.4
    5.318277   -69.194695     0.079    0.064   0.071      0.966    0.887     0.082      3.244      3.4
    5.626587   -68.784271     0.266    0.093   0.109      1.153    0.887     0.268      1.230      3.4
    1.112941   -73.244156     0.052    0.058   0.050      0.914    0.863     0.061      0.109      3.4
    0.580094   -73.588493     0.016    0.028   0.028      0.880    0.864     0.013      0.053      3.4
    5.473950   -68.191315     0.244    0.087   0.108      1.130    0.887     0.228      0.581      3.4
    5.667229   -69.222328     0.474    0.247   0.294      1.361    0.887     0.426      6.022      3.4
    5.419106   -70.872765     0.082    0.038   0.028      0.969    0.886     0.096      0.221      3.4
    5.423743   -68.913383     0.121    0.061   0.063      1.009    0.888     0.132      0.979      3.4
    5.790071   -70.695862     0.156    0.057   0.076      1.042    0.885     0.158      0.541      3.4
    5.249660   -69.612526     0.063    0.054   0.053      0.949    0.887     0.073      0.508      3.4
    5.069734   -70.194870     0.074    0.068   0.082      0.959    0.885     0.076      0.518      3.4
    4.967653   -69.802124     0.130    0.052   0.049      1.013    0.884     0.136      0.173      3.4
    5.006830   -67.582596     0.098    0.046   0.054      0.980    0.883     0.100      0.226      3.4
    0.720394   -72.292946     0.042    0.031   0.030      0.908    0.866     0.039      0.071      3.4
    5.790247   -69.857445     0.376    0.224   0.335      1.262    0.886     0.543      1.438      3.4
    0.637580   -72.729416     0.041    0.025   0.027      0.906    0.866     0.038      0.066      3.4
    5.295565   -71.205353     0.123    0.066   0.081      1.008    0.885     0.120      0.611      3.4
    5.678167   -68.533699     0.098    0.051   0.052      0.985    0.886     0.109      0.476      3.4
    5.313101   -68.722221     0.120    0.065   0.062      1.007    0.887     0.128      0.767      3.4
    5.868089   -70.595329     0.109    0.045   0.042      0.993    0.885     0.113      0.159      3.4
    0.908814   -73.642578     0.060    0.050   0.053      0.926    0.866     0.061      0.156      3.4
    0.669755   -73.664108     0.047    0.042   0.036      0.913    0.866     0.051      0.083      3.4
    5.055139   -69.283997     0.084    0.047   0.051      0.969    0.885     0.089      0.185      3.4
    5.059910   -66.594421     0.080    0.068   0.067      0.961    0.882     0.081      0.229      3.4
