id,rtype,period,Vmag,Bmag,Imag,ra,dec,EBV,eEBV,note,FeH
7158,ab,0.80192,19.198,19.610,18.452,079.1912083,-71.0577611,0.069523,0.041633,,-1.48
7442,ab,0.57795,19.426,19.835,18.855,079.3153333,-70.9241028,0.0606306,0.0274859,,-1.58
7620,ab,0.65616,19.079,19.409,18.461,079.5147083,-70.9175333,0.0582053,0.0363783,,-2.05
7652,ab,0.50700,19.426,19.763,19.191,079.3869583,-71.0538722,0.0711399,0.0359741,,-1.48
10692,ab,0.55094,19.548,19.956,18.918,079.5189167,-71.0763639,0.0719483,0.0355699,Blazhko?,-1.48
10811,ab,0.47637,19.431,19.797,99.999,079.5664583,-71.0741861,0.0598222,0.0424414,,-1.42
14449,ab,0.58413,19.514,19.851,18.727,079.2721667,-71.0280139,0.0735651,0.0420372,,-1.70
19037,ab,0.41128,19.702,20.023,19.293,079.0860833,-70.9684194,0.065481,0.0501213,,-1.26
21801,ab,0.50723,19.598,20.013,19.216,079.1512083,-70.9727000,0.0622474,0.0388036,,-1.48
22917,ab,0.56468,19.426,19.797,18.887,079.5793750,-70.9155639,0.0582053,0.0363783,,-1.34
23502,ab,0.47217,19.385,19.662,99.999,079.5065833,-70.9088361,0.0565885,0.0295069,(p),-1.43
24089,ab,0.55977,19.365,19.798,99.999,079.4360000,-70.9008556,0.0638642,0.0424414,(s),-1.31
2024,c,0.36008,19.500,19.876,19.165,080.7956667,-70.6675917,0.0929669,0.0404204,,-1.48
2119,c,0.26526,19.659,19.986,19.407,080.5925000,-70.6666611,0.0864996,0.0278901,,-1.48
2223,c,0.28784,19.556,19.836,19.136,080.5686667,-70.6639389,0.0881164,0.0359741,,-1.48
2623,c,0.29130,19.368,19.631,19.046,080.6899583,-70.6531583,0.0921584,0.0424414,,-1.48
2636,c,0.31611,19.595,19.896,19.080,080.7885833,-70.6523917,0.0945837,0.0379951,,-1.48
4388,c,0.34194,19.427,19.758,99.999,080.3817917,-70.6128194,0.0970089,0.0400162,,-1.48
6332,c,0.25047,19.433,19.753,19.005,080.8349583,-70.5648694,0.0735651,0.0424414,Blazhko,-1.48
6332,c,0.24961,19.444,19.750,19.023,080.8349583,-70.5648694,0.0735651,0.0424414,,-1.48
6415,c,0.44299,19.206,19.573,18.713,081.0130417,-70.5606778,0.0808407,0.0359741,,-1.48
7231,c,0.32349,19.322,19.643,18.861,080.8432083,-70.5431639,0.0776071,0.0428456,,-1.48
7864,c,0.31347,19.464,19.774,19.047,080.9133333,-70.5272639,0.0792239,0.0420372,,-1.48
8622,c,0.32082,19.542,19.868,19.103,080.6202917,-70.5099611,0.104285,0.0392078,,-1.48
8812,c,0.35485,19.397,19.767,18.821,080.6099167,-70.5052917,0.104285,0.0392078,,-1.48
8837,c,0.31629,19.566,19.905,19.057,080.6901667,-70.5039806,0.104285,0.0392078,,-1.48
10113,c,0.35231,19.486,19.878,18.891,081.0012917,-70.4683944,0.0921584,0.0420372,,-1.48
26715,c,0.35646,19.378,19.725,99.999,080.3717083,-70.4898111,0.0970089,0.0278901,(l),-1.48
27697,c,0.38293,19.166,19.541,18.744,080.5582500,-70.4763833,0.107518,0.0420372,Blazhko?,-1.48
1387,c,0.36448,19.252,19.561,18.737,079.6980000,-71.0995417,0.0670978,0.041633,,-1.48
2517,c,0.23176,19.695,19.925,19.374,079.1302083,-71.0675889,0.0638642,0.0311237,,-1.48
2811,c,0.27757,19.384,19.691,18.956,079.6297917,-71.0560389,0.0590137,0.0388036,,-1.48
3957,c,0.34232,19.533,19.932,19.038,079.6650000,-71.0201694,0.0622474,0.0404204,,-1.48
4008,c,0.28474,19.281,19.559,18.855,079.2696667,-71.0214667,0.0751819,0.0464834,,-1.48
4179,c,0.35587,19.173,19.502,18.640,079.3329167,-71.0172444,0.069523,0.0307195,,-1.48
4749,c,0.32703,19.314,19.653,18.834,079.4569583,-71.0003833,0.0646726,0.0347615,,-1.48
4946,c,0.31275,19.432,19.739,18.929,079.5459167,-70.9932222,0.0622474,0.0319321,,-1.48
5256,c,0.34248,19.259,19.614,18.795,079.6898750,-70.9824417,0.0703314,0.0270816,,-1.48
6164,c,0.37487,19.057,19.353,18.604,079.5421667,-70.9585417,0.061439,0.0311237,,-1.48
6255,c,0.35239,19.264,19.600,18.807,079.3242917,-70.9573417,0.0606306,0.0371867,,-1.48
6957,c,0.40567,19.197,19.532,18.673,079.5751250,-70.9357639,0.0582053,0.0363783,,-1.48
7064,c,0.40070,19.122,19.433,18.644,079.5774583,-70.9329556,0.0582053,0.0363783,,-1.48
7648,c,0.34268,19.384,19.688,18.947,079.1605417,-70.9193111,0.0598222,0.0335489,,-1.48
7783,c,0.34634,19.279,19.564,18.828,079.3570833,-70.9144306,0.0606306,0.0420372,,-1.48
10585,c,0.26954,19.628,19.934,19.158,079.3711250,-71.0792111,0.087308,0.0400162,,-1.48
